"sku_id","total_revenue","revenue_rank"
"SKU_38","1057641.51","1"
"SKU_40","923848.62","2"
"SKU_11","888870.07","3"
"SKU_48","846494.22","4"
"SKU_31","827241.09","5"
"SKU_22","794945.99","6"
"SKU_46","789467.78","7"
"SKU_37","772557.65","8"
"SKU_4","770679.65","9"
"SKU_20","760349.90","10"
"SKU_2","746765.46","11"
"SKU_17","731422.16","12"
"SKU_10","725581.39","13"
"SKU_8","722617.88","14"
"SKU_13","720991.94","15"
"SKU_15","719249.73","16"
"SKU_23","712132.90","17"
"SKU_6","698517.00","18"
"SKU_29","695975.25","19"
"SKU_39","682971.10","20"
"SKU_32","673421.18","21"
"SKU_33","673070.84","22"
"SKU_19","672297.63","23"
"SKU_16","671339.80","24"
"SKU_3","668701.09","25"
"SKU_27","665868.13","26"
"SKU_43","646114.55","27"
"SKU_18","644766.53","28"
"SKU_35","643114.31","29"
"SKU_21","636619.60","30"
"SKU_50","634011.00","31"
"SKU_26","623326.54","32"
"SKU_30","617739.29","33"
"SKU_1","617298.40","34"
"SKU_36","604862.63","35"
"SKU_7","602905.85","36"
"SKU_9","593421.66","37"
"SKU_5","590291.53","38"
"SKU_12","582012.28","39"
"SKU_24","577503.45","40"
"SKU_28","577000.84","41"
"SKU_45","576849.88","42"
"SKU_49","553957.45","43"
"SKU_42","544829.43","44"
"SKU_47","538811.71","45"
"SKU_41","525021.08","46"
"SKU_25","504606.79","47"
"SKU_14","494097.50","48"
"SKU_34","453535.21","49"
"SKU_44","430619.75","50"
