"product_name","category","total_revenue","category_revenue_rank"
"Nivea Body Lotion","Beauty & Personal Care","827241.09","1"
"Cetaphil Body Lotion","Beauty & Personal Care","719249.73","2"
"L'Oreal Body Lotion","Beauty & Personal Care","712132.90","3"
"Dove Body Lotion","Beauty & Personal Care","682971.10","4"
"Lakme Body Lotion SKU_7","Beauty & Personal Care","602905.85","5"
"Lakme Body Lotion SKU_47","Beauty & Personal Care","538811.71","6"
"Samsung Speaker","Electronics","731422.16","1"
"Samsung Keyboard","Electronics","673070.84","2"
"Samsung Laptop SKU_1","Electronics","617298.40","3"
"Samsung Router SKU_9","Electronics","593421.66","4"
"Samsung Router SKU_49","Electronics","553957.45","5"
"Samsung Laptop SKU_41","Electronics","525021.08","6"
"Samsung Tablet","Electronics","504606.79","7"
"Levis Shirt","Fashion","770679.65","1"
"Adidas Jeans","Fashion","760349.90","2"
"Zara Belt","Fashion","604862.63","3"
"Zara Jacket","Fashion","582012.28","4"
"Levis T-Shirt","Fashion","577000.84","5"
"Adidas Cap","Fashion","430619.75","6"
"Nike Slippers SKU_37","Footwear","772557.65","1"
"Nike Slippers SKU_13","Footwear","720991.94","2"
"Bata Slippers SKU_29","Footwear","695975.25","3"
"Puma Slippers SKU_21","Footwear","636619.60","4"
"Bata Slippers SKU_5","Footwear","590291.53","5"
"Puma Slippers SKU_45","Footwear","576849.88","6"
"Godrej Study Table","Furniture","888870.07","1"
"Durian Office Chair","Furniture","672297.63","2"
"Nilkamal Bookshelf","Furniture","668701.09","3"
"IKEA Cabinet","Furniture","665868.13","4"
"Nilkamal Sofa","Furniture","646114.55","5"
"Urban Ladder Bed","Furniture","643114.31","6"
"Philips Microwave","Home & Kitchen","746765.46","1"
"Havells Coffee Maker","Home & Kitchen","725581.39","2"
"Butterfly Blender","Home & Kitchen","644766.53","3"
"Philips Coffee Maker","Home & Kitchen","634011.00","4"
"Philips Toaster","Home & Kitchen","623326.54","5"
"Butterfly Microwave","Home & Kitchen","544829.43","6"
"Havells Rice Cooker","Home & Kitchen","453535.21","7"
"Cosco Basketball","Sports & Fitness","1057641.51","1"
"Yonex Basketball","Sports & Fitness","794945.99","2"
"Nivia Basketball SKU_46","Sports & Fitness","789467.78","3"
"Nivia Basketball SKU_6","Sports & Fitness","698517.00","4"
"SG Basketball","Sports & Fitness","617739.29","5"
"Decathlon Basketball","Sports & Fitness","494097.50","6"
"Hasbro Soft Toy","Toys","923848.62","1"
"Funskool Soft Toy SKU_48","Toys","846494.22","2"
"Funskool Soft Toy SKU_8","Toys","722617.88","3"
"Hot Wheels Soft Toy","Toys","673421.18","4"
"Lego Soft Toy","Toys","671339.80","5"
"Mattel Soft Toy","Toys","577503.45","6"
