"sku_id","total_revenue","total_profit","total_days","below_reorder_days","below_reorder_percentage","performance_risk_category"
"SKU_20","760349.90","292746.29","1825","103","5.64","High Performing & Low Risk"
"SKU_37","772557.65","279719.70","1825","101","5.53","High Performing & Low Risk"
"SKU_10","725581.39","221751.87","1825","100","5.48","High Performing & Low Risk"
"SKU_22","794945.99","261633.79","1825","99","5.42","High Performing & Low Risk"
"SKU_38","1057641.51","368630.97","1825","98","5.37","High Performing & Low Risk"
"SKU_17","731422.16","260028.37","1825","98","5.37","High Performing & Low Risk"
"SKU_4","770679.65","265429.28","1825","96","5.26","High Performing & Low Risk"
"SKU_46","789467.78","260882.66","1825","95","5.21","High Performing & Low Risk"
"SKU_2","746765.46","282699.85","1825","95","5.21","High Performing & Low Risk"
"SKU_11","888870.07","333158.84","1825","94","5.15","High Performing & Low Risk"
"SKU_48","846494.22","290867.82","1825","94","5.15","High Performing & Low Risk"
"SKU_31","827241.09","282770.56","1825","93","5.10","High Performing & Low Risk"
"SKU_40","923848.62","354456.86","1825","91","4.99","High Performing & Low Risk"
"SKU_3","668701.09","253691.39","1825","98","5.37","Other"
"SKU_8","722617.88","239740.61","1825","98","5.37","Other"
"SKU_39","682971.10","268603.86","1825","98","5.37","Other"
"SKU_23","712132.90","206181.02","1825","97","5.32","Other"
"SKU_6","698517.00","260874.56","1825","96","5.26","Other"
"SKU_32","673421.18","154986.72","1825","96","5.26","Other"
"SKU_33","673070.84","233048.18","1825","95","5.21","Other"
"SKU_15","719249.73","257102.29","1825","95","5.21","Other"
"SKU_16","671339.80","212804.69","1825","93","5.10","Other"
"SKU_13","720991.94","187643.40","1825","93","5.10","Other"
"SKU_19","672297.63","232399.60","1825","93","5.10","Other"
"SKU_27","665868.13","205908.03","1825","92","5.04","Other"
"SKU_29","695975.25","175424.95","1825","92","5.04","Other"
"SKU_50","634011.00","193837.22","1825","99","5.42","Other"
"SKU_5","590291.53","213397.57","1825","98","5.37","Other"
"SKU_9","593421.66","188498.59","1825","97","5.32","Other"
"SKU_36","604862.63","229788.16","1825","97","5.32","Other"
"SKU_26","623326.54","184999.02","1825","96","5.26","Other"
"SKU_35","643114.31","225035.48","1825","96","5.26","Other"
"SKU_21","636619.60","204947.25","1825","96","5.26","Other"
"SKU_7","602905.85","205636.71","1825","95","5.21","Other"
"SKU_43","646114.55","202663.00","1825","94","5.15","Other"
"SKU_18","644766.53","196373.16","1825","94","5.15","Other"
"SKU_30","617739.29","216039.89","1825","93","5.10","Other"
"SKU_1","617298.40","188680.78","1825","92","5.04","Other"
"SKU_14","494097.50","127703.01","1825","105","5.75","Other"
"SKU_12","582012.28","149194.06","1825","97","5.32","Other"
"SKU_28","577000.84","165751.75","1825","97","5.32","Other"
"SKU_45","576849.88","159935.51","1825","97","5.32","Other"
"SKU_49","553957.45","167156.49","1825","97","5.32","Other"
"SKU_42","544829.43","172039.03","1825","97","5.32","Other"
"SKU_24","577503.45","207986.53","1825","95","5.21","Other"
"SKU_44","430619.75","153624.39","1825","94","5.15","Other"
"SKU_41","525021.08","176084.46","1825","93","5.10","Other"
"SKU_34","453535.21","165917.89","1825","93","5.10","Other"
"SKU_25","504606.79","165338.66","1825","92","5.04","Other"
"SKU_47","538811.71","184386.46","1825","90","4.93","Other"
