"sku_id","total_units_sold","total_revenue","total_profit","avg_inventory","stockout_days","forecast_accuracy_percentage","business_status"
"SKU_38","36739","1057641.51","368630.97","477.36","0","99.76","Strong Performer"
"SKU_40","36443","923848.62","354456.86","472.63","0","99.64","Strong Performer"
"SKU_11","36358","888870.07","333158.84","500.06","0","99.77","Strong Performer"
"SKU_20","36735","760349.90","292746.29","470.46","0","99.64","Strong Performer"
"SKU_48","36597","846494.22","290867.82","484.01","0","99.70","Strong Performer"
"SKU_31","36742","827241.09","282770.56","465.24","0","99.21","Strong Performer"
"SKU_2","36490","746765.46","282699.85","471.32","0","99.85","Strong Performer"
"SKU_37","36730","772557.65","279719.70","465.06","0","99.71","Strong Performer"
"SKU_39","36583","682971.10","268603.86","499.74","0","99.66","Strong Performer"
"SKU_4","36811","770679.65","265429.28","470.57","0","99.99","Strong Performer"
"SKU_22","36646","794945.99","261633.79","457.37","0","99.66","Strong Performer"
"SKU_46","36270","789467.78","260882.66","466.39","0","99.59","Strong Performer"
"SKU_6","36213","698517.00","260874.56","455.88","0","99.77","Strong Performer"
"SKU_17","36449","731422.16","260028.37","490.64","0","99.91","Strong Performer"
"SKU_15","36397","719249.73","257102.29","467.25","0","99.70","Strong Performer"
"SKU_3","36785","668701.09","253691.39","443.61","0","99.33","Strong Performer"
"SKU_8","36702","722617.88","239740.61","471.21","0","99.70","Strong Performer"
"SKU_33","37012","673070.84","233048.18","481.92","0","99.94","Strong Performer"
"SKU_19","36255","672297.63","232399.60","477.60","0","99.91","Strong Performer"
"SKU_36","36594","604862.63","229788.16","465.53","0","99.45","Strong Performer"
"SKU_35","36441","643114.31","225035.48","437.27","0","99.87","Strong Performer"
"SKU_10","36579","725581.39","221751.87","459.18","0","99.85","Strong Performer"
"SKU_30","36557","617739.29","216039.89","437.90","0","99.75","Strong Performer"
"SKU_5","36457","590291.53","213397.57","457.35","0","99.58","Strong Performer"
"SKU_16","36496","671339.80","212804.69","520.84","0","99.56","Strong Performer"
"SKU_24","36381","577503.45","207986.53","468.00","0","99.48","Strong Performer"
"SKU_23","36698","712132.90","206181.02","459.51","0","99.95","Strong Performer"
"SKU_27","36423","665868.13","205908.03","490.90","0","99.83","Strong Performer"
"SKU_7","36462","602905.85","205636.71","494.56","0","99.94","Strong Performer"
"SKU_21","36406","636619.60","204947.25","483.72","0","99.85","Strong Performer"
"SKU_43","36535","646114.55","202663.00","498.19","0","99.52","Strong Performer"
"SKU_18","37234","644766.53","196373.16","463.70","0","99.86","Strong Performer"
"SKU_50","36604","634011.00","193837.22","408.51","0","99.43","Strong Performer"
"SKU_1","37026","617298.40","188680.78","514.68","0","99.95","Strong Performer"
"SKU_9","36855","593421.66","188498.59","487.49","0","99.74","Strong Performer"
"SKU_13","36915","720991.94","187643.40","485.85","0","99.89","Strong Performer"
"SKU_26","36398","623326.54","184999.02","485.13","0","99.33","Strong Performer"
"SKU_47","36912","538811.71","184386.46","514.67","0","99.92","Strong Performer"
"SKU_41","36532","525021.08","176084.46","523.97","0","99.80","Strong Performer"
"SKU_29","36737","695975.25","175424.95","453.45","0","99.77","Strong Performer"
"SKU_42","36637","544829.43","172039.03","485.34","0","99.84","Strong Performer"
"SKU_49","36479","553957.45","167156.49","447.67","0","99.82","Strong Performer"
"SKU_34","36537","453535.21","165917.89","445.99","0","99.56","Strong Performer"
"SKU_28","36481","577000.84","165751.75","481.09","0","99.99","Strong Performer"
"SKU_25","36590","504606.79","165338.66","467.84","0","99.99","Strong Performer"
"SKU_45","36347","576849.88","159935.51","440.82","0","99.81","Strong Performer"
"SKU_32","36647","673421.18","154986.72","465.96","0","99.77","Strong Performer"
"SKU_44","36683","430619.75","153624.39","430.55","0","99.91","Strong Performer"
"SKU_12","36794","582012.28","149194.06","466.36","0","99.98","Strong Performer"
"SKU_14","36585","494097.50","127703.01","445.76","0","99.87","Strong Performer"
